Filing Date,Document Type,Filed By,Description
"January 04, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=522745878""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",CMMR/ALICE REYNOLDS/CPUC,"PROPOSED DECISION GRANTING COMPENSATION TO NATURAL RESOURCES DEFENSE COUNCIL FOR SUBSTANTIAL CONTRIBUTION TO DECISION 22-11-040. Opening Comments, which shall not exceed 15 pages, are due on January 24, 2024. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last day for filing Opening Comments."
"January 02, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=522696298""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Large Energy Consumers Association,Energy Producers and Users Coalition",JOINT REPLY TO COMMENTS ON THE JOINT PETITION FOR MODIFICATION OF D.22-11-040
"December 26, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521999737""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/RIZZO/CPUC,EMAIL RULING GRANTING ENERGY PRODUCERS AND USERS COALITIONAND CALIFORNIA LARGE ENERGY CONSUMERS ASSOCIATION REQUEST TO FILE A REPLY TO RESPONSE TO ITS PETITION FOR MODIFICATION
"December 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=522696301""><span style=""color:blue""><u>RESPONSE</u></span></a>",Pacific Gas and Electric Company,"RESPONSE TO CALIFORNIA LARGE ENERGY CONSUMER ASSOCIATION, ENERGY PRODUCERS AND USERS COALITION JOINT PETITION FOR MODIFICATION OF D.22-11-040"
"December 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=522262106""><span style=""color:blue""><u>RESPONSE</u></span></a>","Sierra Club,EAST YARD COMMUNITIES FOR ENVIRONMENTAL JUSTICE,Center for Community Action and Environmental Justice,Union of Concerned Scientists","JOINT RESPONSE OF CENTER FOR COMMUNITY ACTION AND ENVIRONMENTAL JUSTICE, EAST YARD COMMUNITIES FOR ENVIRONMENTAL JUSTICE, SIERRA CLUB, AND UNION OF CONCERNED SCIENTISTS TO PETITION FOR MODIFICATION"
"December 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521581836""><span style=""color:blue""><u>RESPONSE</u></span></a>",The Utility Reform Network,"RESPONSE TO CALIFORNIA LARGE ENERGY CONSUMERS ASSOCIATION, ENERGY PRODUCERS AND USERS COALITION JOINT PETITION FOR MODIFICATION OF D.22-11-040"
"December 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521589394""><span style=""color:blue""><u>RESPONSE</u></span></a>",Cal Advocates/EINHORN/CPUC,RESPONSE TO PETITION FOR MODIFICATION OF DECISION 22-11-040 OF CALIFORNIA LARGE ENERGY CONSUMERS ASSOCIATION AND ENERGY PRODUCERS AND USERS COALITION
"December 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521745649""><span style=""color:blue""><u>RESPONSE</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,"SAN DIEGO GAS & ELECTRIC COMPANYS (U 902 M) RESPONSE TO CALIFORNIA LARGE ENERGY CONSUMER ASSOCIATION, ENERGY PRODUCERS AND USERS COALITION JOINT PETITION FOR MODIFICATION OF D.22-11-010"
"December 15, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=522262044""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,"AMENMENT; to Request for intervenor compensation for contribution to D20-12-027, D20-12-029, D21-07-028, D21-12-030, D21-12-033, D22-08-024, D22-11-040, Resolution E-5167, Resolution E-5227"
"December 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521872957""><span style=""color:blue""><u>FINAL DECISION</u></span></a>",CPUC,"ORDER INSTITUTING RULEMAKING CLOSING RULEMAKING 18-12-006
"
